0,Alabama,AL
1,Alaska,AK
2,Arizona,AZ
3,Arkansas,AR
4,California,CA
5,Colorado,CO
6,Connecticut,CT
7,Delaware,DE
8,Florida,FL
9,Georgia,GA
10,Hawaii,HI
11,Idaho,ID
12,Illinois,IL
13,Indiana,IN
14,Iowa,IA
15,Kansas,KS
16,Kentucky,KY
17,Louisiana,LA
18,Maine,ME
19,Montana,MT
20,Nebraska,NE
21,Nevada,NV
22,New Hampshire,NH
23,New Jersey,NJ
24,New Mexico,NM
25,New York,NY
26,North Carolina,NC
27,North Dakota,ND
28,Ohio,OH
29,Oklahoma,OK
30,Oregon,OR
31,Maryland,MD
32,Massachusetts,MA
33,Michigan,MI
34,Minnesota,MN
35,Mississippi,MS
36,Missouri,MO
37,Pennsylvania,PA
38,Rhode Island,RI
39,South Carolina,SC
40,South Dakota,SD
41,Tennessee,TN
42,Texas,TX
43,Utah,UT
44,Vermont,VT
45,Virginia,VA
46,Washington,WA
47,West Virginia,WV
48,Wisconsin,WI
49,Wyoming,WY
